iter	Passed	Remaining
411	3659	5222
412	3667	5212
413	3675	5202
414	3683	5192
415	3692	5183
416	3699	5172
417	3708	5163
418	3716	5154
419	3725	5144
420	3733	5135
421	3742	5126
422	3750	5116
423	3759	5107
424	3768	5098
425	3776	5088
426	3784	5078
427	3792	5067
428	3800	5058
429	3808	5048
430	3816	5038
431	3825	5029
432	3833	5019
433	3840	5008
434	3848	4998
435	3856	4988
436	3864	4978
437	3873	4969
438	3880	4959
439	3888	4949
440	3896	4939
441	3905	4930
442	3914	4921
443	3922	4912
444	3931	4902
445	3939	4892
446	3947	4883
447	3954	4873
448	3962	4862
449	3969	4852
450	3977	4841
451	3985	4831
452	3993	4821
453	4001	4811
454	4008	4801
455	4016	4791
456	4024	4781
457	4032	4772
458	4040	4761
459	4047	4751
460	4055	4741
461	4063	4731
462	4071	4721
463	4078	4711
464	4086	4701
465	4093	4690
466	4101	4680
467	4108	4670
468	4117	4661
469	4126	4653
470	4134	4643
471	4143	4635
472	4151	4625
473	4158	4614
474	4166	4604
475	4173	4593
476	4181	4585
477	4189	4575
478	4198	4566
479	4206	4557
480	4214	4547
481	4221	4537
482	4230	4528
483	4237	4518
484	4246	4508
485	4253	4498
486	4262	4489
487	4269	4479
488	4277	4470
489	4285	4460
490	4292	4450
491	4300	4440
492	4308	4430
493	4315	4420
494	4323	4410
495	4331	4401
496	4340	4392
497	4349	4384
498	4357	4374
499	4365	4365
500	4373	4355
501	4380	4346
502	4389	4336
503	4397	4327
504	4405	4317
505	4412	4308
506	4421	4299
507	4428	4288
508	4437	4280
509	4445	4270
510	4452	4260
511	4460	4251
512	4468	4242
513	4476	4232
514	4483	4222
515	4491	4212
516	4498	4202
517	4506	4193
518	4513	4183
519	4521	4173
520	4529	4164
521	4537	4154
522	4544	4145
523	4552	4135
524	4559	4125
525	4567	4115
526	4575	4106
527	4582	4096
528	4590	4086
529	4597	4077
530	4605	4067
531	4613	4058
532	4620	4048
533	4628	4039
534	4636	4029
535	4643	4019
536	4651	4010
537	4659	4001
538	4668	3992
539	4676	3983
540	4684	3974
541	4692	3964
542	4700	3956
543	4708	3946
544	4716	3937
545	4724	3928
546	4732	3919
547	4741	3911
548	4750	3902
549	4758	3893
550	4767	3885
551	4776	3876
552	4785	3868
553	4793	3859
554	4801	3850
555	4810	3841
556	4818	3832
557	4826	3823
558	4835	3814
559	4843	3805
560	4851	3796
561	4860	3787
562	4868	3778
563	4876	3769
564	4884	3760
565	4892	3751
566	4899	3741
567	4908	3732
568	4915	3723
569	4923	3714
570	4931	3705
571	4938	3695
572	4946	3686
573	4954	3677
574	4962	3668
575	4970	3658
576	4978	3649
577	4985	3639
578	4993	3630
579	5000	3621
580	5008	3611
581	5015	3602
582	5023	3592
583	5030	3583
584	5038	3574
585	5046	3564
586	5053	3555
587	5061	3546
588	5068	3536
589	5076	3528
590	5084	3518
591	5092	3509
592	5099	3500
593	5107	3491
594	5115	3481
595	5122	3472
596	5129	3462
597	5137	3453
598	5145	3444
599	5152	3435
600	5160	3425
601	5168	3416
602	5176	3407
603	5184	3398
604	5191	3389
605	5198	3380
606	5206	3371
607	5214	3361
608	5222	3352
609	5229	3343
610	5238	3334
611	5246	3325
612	5254	3317
613	5262	3308
614	5270	3299
615	5279	3291
616	5287	3282
617	5295	3273
618	5304	3265
619	5313	3256
620	5322	3248
621	5330	3239
622	5339	3231
623	5348	3222
624	5356	3214
625	5366	3206
626	5374	3197
627	5384	3189
628	5393	3180
629	5402	3173
630	5413	3165
631	5422	3157
632	5430	3148
633	5438	3139
634	5447	3130
635	5455	3122
636	5463	3113
637	5471	3104
638	5480	3096
639	5489	3087
640	5497	3078
641	5505	3069
642	5513	3061
643	5522	3052
644	5530	3044
645	5538	3035
646	5547	3026
647	5555	3017
648	5564	3009
649	5572	3000
650	5581	2992
651	5590	2983
652	5600	2975
653	5608	2966
654	5617	2958
655	5625	2949
656	5633	2941
657	5642	2932
658	5650	2923
659	5658	2915
660	5667	2906
661	5676	2898
662	5684	2889
663	5693	2881
664	5702	2872
665	5711	2864
666	5719	2855
667	5728	2846
668	5735	2837
669	5745	2829
670	5753	2820
671	5762	2812
672	5771	2804
673	5780	2795
674	5788	2787
675	5797	2778
676	5806	2770
677	5817	2762
678	5826	2754
679	5836	2746
680	5844	2737
681	5854	2729
682	5863	2721
683	5873	2713
684	5881	2704
685	5892	2697
686	5901	2688
687	5911	2680
688	5920	2672
689	5929	2664
690	5939	2656
691	5947	2647
692	5958	2639
693	5967	2631
694	5975	2622
695	5984	2613
696	5993	2605
697	6001	2596
698	6009	2587
699	6018	2579
700	6026	2570
701	6035	2562
702	6043	2553
703	6052	2544
704	6061	2536
705	6070	2527
706	6078	2519
707	6088	2510
708	6096	2502
709	6105	2493
710	6113	2484
711	6121	2476
712	6130	2467
713	6138	2458
714	6147	2450
715	6155	2441
716	6163	2432
717	6171	2423
718	6179	2415
719	6188	2406
720	6197	2398
721	6204	2389
722	6213	2380
723	6220	2371
724	6229	2362
725	6237	2354
726	6246	2345
727	6254	2336
728	6263	2328
729	6271	2319
730	6281	2311
731	6289	2302
732	6298	2294
733	6306	2285
734	6315	2277
735	6324	2268
736	6332	2259
737	6341	2251
738	6349	2242
739	6358	2233
740	6366	2225
741	6375	2216
742	6383	2207
743	6391	2199
744	6399	2190
745	6407	2181
746	6415	2172
747	6424	2164
748	6432	2155
749	6440	2146
750	6448	2138
751	6456	2129
752	6464	2120
753	6473	2111
754	6481	2103
755	6489	2094
756	6497	2085
757	6506	2077
758	6514	2068
759	6523	2059
760	6531	2051
761	6539	2042
762	6547	2033
763	6555	2025
764	6563	2016
765	6572	2007
766	6579	1998
767	6588	1990
768	6596	1981
769	6606	1973
770	6613	1964
771	6622	1956
772	6630	1947
773	6640	1938
774	6647	1929
775	6657	1921
776	6664	1912
777	6673	1904
778	6681	1895
779	6690	1887
780	6699	1878
781	6707	1869
782	6716	1861
783	6724	1852
784	6732	1843
785	6740	1835
786	6748	1826
787	6756	1817
788	6764	1809
789	6773	1800
790	6781	1791
791	6790	1783
792	6798	1774
793	6806	1765
794	6815	1757
795	6823	1748
796	6831	1740
797	6839	1731
798	6848	1722
799	6855	1713
800	6864	1705
801	6872	1696
802	6881	1688
803	6890	1679
804	6899	1671
805	6907	1662
806	6916	1654
807	6923	1645
808	6933	1636
809	6940	1628
